SampleIndex,Timestamp,Ax,Ay,Az,Gx,Gy,Gz,RMS,Pitch,Roll,StepCount
1,1768267278,-1568,152,7880,13,-4325,-1466,53.9,1.6,24.14,0
2,1768267278,-2710,986,10236,806,-823,-2236,53.9,2.54,22.48,0
3,1768267278,-5042,182,17220,567,-1700,-1883,-150.44,2.29,21.66,0
4,1768267278,-1660,-34,6932,-187,-2963,-1756,-150.44,1.73,20.74,1
5,1768267278,76,38,6518,-613,-6408,-1634,-150.44,1.3,18.03,1
6,1768267278,-598,182,9020,-2757,-10728,-1724,-150.44,0.6,17.8,1
7,1768267278,3298,-886,8910,462,-14932,-390,-150.44,-0.47,13.82,1
8,1768267278,-5054,-488,11766,330,-8718,-2605,-150.44,-0.73,17.84,1
9,1768267278,362,-930,8028,101,-555,-1185,-150.44,-1.88,13.89,1
10,1768267278,404,-62,8664,498,45,1574,-150.44,-1.46,10.56,1
11,1768267278,270,94,8022,33,-28,431,-150.44,-1.03,8.07,1
12,1768267278,176,-54,8020,-39,-9,25,-150.44,-0.91,6.21,1
13,1768267278,220,-32,7920,80,47,-13,-150.44,-0.75,4.63,1
14,1768267278,270,6,8070,175,71,-13,-150.44,-0.55,3.31,1
15,1768267278,270,-40,8060,72,60,-18,-150.44,-0.48,2.25,1
16,1768267278,356,28,7948,89,62,-27,-150.44,-0.32,1.27,1
17,1768267278,358,-2,7938,80,64,-15,-150.44,-0.24,0.48,1
18,1768267278,268,-18,8090,107,77,-14,-150.44,-0.19,0.0,1
19,1768267278,168,-6,8056,96,85,-16,-150.44,-0.13,-0.26,1
20,1768267278,228,10,7938,98,77,-23,-150.44,-0.07,-0.56,1
21,1768267279,310,26,7914,103,72,-24,-150.44,0.0,-0.91,1
22,1768267279,316,-10,7990,94,76,-23,-150.44,0.01,-1.2,1
23,1768267279,284,-50,8016,96,77,-27,-150.44,-0.03,-1.38,1
24,1768267279,322,-24,7960,100,80,-27,-150.44,-0.04,-1.59,1
25,1768267279,304,8,7956,107,76,-24,-150.44,0.0,-1.73,1
26,1768267279,256,-4,7984,97,83,-17,-150.44,0.02,-1.77,1
27,1768267279,214,16,8064,104,81,-22,-150.44,0.06,-1.74,1
28,1768267279,240,28,7998,102,81,-28,-216.62,0.11,-1.75,1
29,1768267279,350,-28,7934,101,75,-30,-216.62,0.07,-1.92,1
30,1768267279,324,18,7956,102,71,-35,-216.62,0.11,-2.02,1
31,1768267279,250,-22,8016,99,82,-24,-216.62,0.08,-1.99,1
32,1768267279,288,-46,7956,102,87,-21,-216.62,0.02,-2.03,1
33,1768267279,278,-78,7920,101,73,-26,-216.62,-0.06,-2.04,1
34,1768267279,242,-30,8040,102,78,-32,-216.62,-0.07,-2.0,1
35,1768267279,242,24,8066,99,79,-31,-216.62,0.0,-1.96,1
36,1768267279,302,48,8014,96,79,-24,-216.62,0.09,-2.02,1
37,1768267279,370,-8,7912,98,72,-20,-216.62,0.08,-2.17,1
38,1768267279,352,-52,7946,103,73,-23,-216.62,0.01,-2.26,1
39,1768267279,256,-8,8054,100,84,-29,-216.62,0.02,-2.19,1
40,1768267279,198,6,7984,103,82,-28,-216.62,0.05,-2.05,1
41,1768267279,298,-14,7936,101,75,-15,-216.62,0.04,-2.09,1
42,1768267279,278,-6,7934,97,73,-24,-216.62,0.05,-2.09,1
43,1768267279,250,-4,8058,98,80,-29,-216.62,0.06,-2.05,1
44,1768267279,244,8,8046,97,82,-30,-216.62,0.08,-2.0,1
45,1768267279,324,26,7968,100,85,-29,-216.62,0.12,-2.09,1
46,1768267279,350,10,7926,100,71,-26,-216.62,0.14,-2.19,1
47,1768267279,294,-10,7994,103,77,-21,-216.62,0.12,-2.19,1
48,1768267279,198,4,8026,100,82,-27,-216.62,0.13,-2.06,1
49,1768267279,268,22,7940,100,82,-31,-216.62,0.16,-2.05,1
50,1768267279,278,2,7948,101,71,-29,-216.62,0.15,-2.06,1
51,1768267279,298,-18,8022,104,77,-28,-216.62,0.12,-2.09,1
52,1768267279,224,10,8070,99,82,-25,-216.62,0.13,-2.01,1
53,1768267279,252,0,8016,97,80,-26,128.21,0.13,-1.99,1
54,1768267279,306,18,7920,99,80,-26,128.21,0.15,-2.05,1
55,1768267279,264,-30,8004,96,79,-24,128.21,0.1,-2.04,1
56,1768267279,182,8,8056,101,87,-24,128.21,0.12,-1.91,1
57,1768267279,262,-2,7978,102,83,-32,128.21,0.11,-1.92,1
58,1768267279,326,-4,7946,104,74,-27,128.21,0.11,-2.02,1
59,1768267279,300,-18,7982,101,78,-28,128.21,0.09,-2.07,1
60,1768267279,262,2,8026,102,78,-27,128.21,0.1,-2.05,1
61,1768267279,244,20,7992,105,85,-24,128.21,0.13,-2.01,1
