SampleIndex,Timestamp,Ax,Ay,Az,Gx,Gy,Gz,RMS,Pitch,Roll,StepCount
1,1768267288,266,-12,8012,106,79,-31,146.29,0.11,-1.93,1
2,1768267288,264,-18,7954,99,81,-24,146.29,0.08,-1.94,1
3,1768267288,246,-12,8004,96,83,-25,140.89,0.07,-1.92,1
4,1768267288,250,-6,8034,101,82,-31,140.89,0.07,-1.91,1
5,1768267288,244,-24,7966,102,83,-29,140.89,0.05,-1.9,1
6,1768267288,274,8,8002,100,76,-27,140.89,0.07,-1.93,1
7,1768267288,268,-8,8000,105,81,-26,140.89,0.07,-1.95,1
8,1768267288,274,-16,7954,99,80,-27,140.89,0.06,-1.97,1
9,1768267288,270,-4,7978,101,81,-26,140.89,0.06,-1.98,1
10,1768267288,258,8,8038,104,86,-24,140.89,0.09,-1.97,1
11,1768267288,276,-42,7962,99,79,-26,140.89,0.03,-1.99,1
12,1768267288,262,6,8072,103,83,-25,140.89,0.06,-1.99,1
13,1768267288,216,-8,8002,104,84,-30,140.89,0.06,-1.92,1
14,1768267288,254,-20,8002,97,85,-28,140.89,0.04,-1.92,1
15,1768267288,238,-4,8008,97,82,-22,140.89,0.05,-1.89,1
16,1768267288,214,26,8000,102,81,-31,140.89,0.1,-1.84,1
17,1768267288,260,-36,7980,96,81,-25,140.89,0.05,-1.86,1
18,1768267288,284,8,8030,96,78,-29,140.89,0.08,-1.91,1
19,1768267288,218,-14,7992,96,90,-29,140.89,0.06,-1.87,1
20,1768267288,260,-10,7974,93,79,-27,140.89,0.06,-1.88,1
21,1768267289,252,-26,8038,98,82,-26,140.89,0.03,-1.89,1
22,1768267289,248,14,7966,96,83,-23,140.89,0.07,-1.88,1
23,1768267289,262,-20,8008,103,80,-27,140.89,0.05,-1.9,1
24,1768267289,262,14,7978,105,78,-27,140.89,0.08,-1.91,1
25,1768267289,258,16,7992,105,78,-25,140.89,0.12,-1.92,1
26,1768267289,254,-6,7898,98,77,-25,140.89,0.11,-1.92,1
27,1768267289,250,-10,7996,101,78,-26,140.89,0.09,-1.91,1
28,1768267289,254,38,7944,100,81,-22,132.4,0.15,-1.92,1
29,1768267289,258,16,8026,99,85,-23,132.4,0.17,-1.92,1
30,1768267289,242,-22,8066,98,83,-27,132.4,0.13,-1.9,1
31,1768267289,232,-8,8024,102,85,-26,132.4,0.11,-1.87,1
32,1768267289,254,24,7956,102,84,-31,132.4,0.15,-1.88,1
33,1768267289,258,36,8004,100,78,-27,132.4,0.19,-1.89,1
34,1768267289,240,32,8028,97,81,-25,132.4,0.22,-1.88,1
35,1768267289,242,-12,7962,99,79,-24,132.4,0.19,-1.87,1
36,1768267289,240,-58,7994,97,75,-26,132.4,0.09,-1.85,1
37,1768267289,224,12,8008,104,84,-29,132.4,0.11,-1.82,1
38,1768267289,210,10,7976,99,81,-30,132.4,0.13,-1.78,1
39,1768267289,256,-2,7992,97,84,-22,132.4,0.12,-1.81,1
40,1768267289,224,6,8050,99,84,-26,132.4,0.13,-1.79,1
41,1768267289,242,26,8022,99,83,-25,132.4,0.16,-1.79,1
42,1768267289,264,-42,7948,96,80,-28,132.4,0.09,-1.83,1
43,1768267289,224,42,7990,98,79,-26,132.4,0.16,-1.81,1
44,1768267289,226,44,7970,106,87,-24,132.4,0.21,-1.79,1
45,1768267289,268,-56,7994,91,82,-26,132.4,0.11,-1.84,1
46,1768267289,256,-38,8012,103,83,-27,132.4,0.06,-1.85,1
47,1768267289,236,18,7986,102,84,-28,132.4,0.1,-1.84,1
48,1768267289,252,-34,7966,99,81,-25,132.4,0.05,-1.85,1
